Município;Estado;Nome do Incumbente;Nome do Principal Adversário em 2016;Nome do Principal Adversário em 2020;População;ln_pop;Faixa de População;Região do País;Gênero;reeleito;Partido;Número efetivo de candidatos de 2020;Número efetivo de candidatos de 2016;delta_nec (2020-2016);Votos válidos 2016;Abstenção 2016;Eleitores 2016;Voto do Incumbente em 2016;Voto do Principal Adversário de 2016;% do eleitorado do Incumbente 2016;% do eleitorado do P, Adversário 2016;Vantagem do Incumbente no primeiro turno 2016;Votos válidos 2020;Abstenção 2020;Eleitores 2020;Voto do Incumbente em 2020;Voto do Principal Adversário de 2020;% do eleitorado do Incumbente 2020;% do eleitorado do P, Adversário 2020;Vantagem do Incumbente no primeiro turno 2020;delta_vantagem (2020-2016);Atividade com maior valor adicionado bruto;Produto Interno Bruto per capita,  a preços correntes (R$ 1,00);Durante o período da pandemia do COVID-19 foi necessário manter pessoas por mais de 24 horas em unidades sem internação;Foi instalado hospital de campanha durante a pandemia da COVID-19 no município;Houve a instalação de tendas de triagem para o combate da COVID-19, no município;Local (público ou privado) com condições de realizar testes PCR ou sorológicos em pacientes suspeitos de COVID-19 - existência;Nos casos de internação por COVID-19, houve necessidade de referenciar o(s) paciente(s) para outro município;O número de internações ultrapassou a capacidade de leitos e de unidades de tratamento intensivo (UTI) públicos ou privados con;O número de leitos foi ampliado para atender à demanda por internação no município em virtude da COVID-19;Serviço de atendimento de emergência - Serviço público municipal;Vigilância epidemiológica;Obrigatoriedade de máscara;Dias da eleição - Máscara;Dias da eleição - Máscara (Normalizado);;Início da restrição ao comércio;Dias da eleição - Restrição ao comércio;Dias da eleição - Restrição ao comércio (Normalizado);;IFDM 2016;IFDM Saúde 2016;IFDM Emprego 2016;IFDM 2020;IFDM Saúde 2020;IFDM Emprego 2020;delta_firjan_geral_16_20;piora_geral_16_20;delta_firjan_saude_16_20;piora_saude_16_20;delta_firjan_emprego_16_20;piora_emprego_16_20
Alagoa grande;PB;SOBRINHO;JOSILDO OLIVEIRA;BÔDA;28.384;10;4 - 20001 até 50000;2 - Nordeste;MASCULINO;1;PP;2,893935994;2,461921954;0,43201404;17689;6331;24020;7474;6704;31;28;3;17.556;3924;21480;7000;4969;33;23;9;6;Administração, defesa, educação e saúde públicas e seguridade social;9.884,10;Não;Não;Sim;Sim;Sim;Sim;Sim;Sim;Sim;28/05/2020;171;0,6;DECRETO 43/2020;19/03/2020;241;0,965909091;DECRETO 19/2020;0,3776;0,5484;0,3099;0,3906;0,5135;0,3285;0,013;0;-0,0349;1;0,0186;0
Areia;PB;JOÃO FRANCISCO;PAULO MOVEIS;DRA SILVIA;22.493;10;4 - 20001 até 50000;2 - Nordeste;MASCULINO;0;PSDB;2,079695152;1,944270085;0,135425067;15701;3884;19585;8873;5254;45;27;18;14.727;3220;17947;6040;7248;34;40;-7;-25;Administração, defesa, educação e saúde públicas e seguridade social;10.754,72;Não;Não;Sim;Não;Sim;Não;Não;Sim;Sim;11/05/2020;188;0,697142857;DECRETO 15/2020;21/03/2020;239;0,943181818;DECRETO 005/2020;0,3504;0,3893;0,3387;0,5009;0,6483;0,3683;0,1505;0;0,259;0;0,0296;0
Cajazeiras;PB;ZÉ ALDEMIR;DRA DENISE;DRA DENISE;62.576;11;5 - 50001 até 100000;2 - Nordeste;MASCULINO;1;PP;2,556951634;2,151547057;0,405404577;36762;8653;45415;16926;15839;37;35;2;36.462;7959;44421;16416;12688;37;29;8;6;Demais serviços;18.213,02;Sim;Não;Sim;Sim;Sim;Sim;Sim;Sim;Sim;18/05/2020;181;0,657142857;DECRETO 22/2020;18/05/2020;181;0,284090909;DECRETO 22/2020;0,4905;0,6037;0,4851;0,5743;0,6495;0,4923;0,0838;0;0,0458;0;0,0072;0
Mamanguape;PB;EUNICE;FABIO FERNANDES;FABRÍCIO SALES;45.385;11;4 - 20001 até 50000;2 - Nordeste;FEMININO;1;CIDADANIA;1,87512932;2,074275078;-0,199145758;26516;3483;29999;12859;11020;43;37;6;25.634;5289;30923;14991;8841;48;29;20;14;Administração, defesa, educação e saúde públicas e seguridade social;15.320,26;Não;Não;Sim;Sim;Sim;Não;Sim;Sim;Sim;29/05/2020;170;0,594285714;LEI Nº, 1115/2020 ;18/03/2020;242;0,977272727;https://g1,globo,com/pb/paraiba/noticia/2020/03/18/shoppings-mudam-funcionamento-e-comercio-adota-medidas-de-prevencao-ao-coronavirus-na-pb,ghtml;0,3953;0,4005;0,5358;0,4412;0,4107;0,5517;0,0459;0;0,0102;0;0,0159;0
Mari;PB;ANTONIO GOMES;MARCOS MARTINS;MARCOS MARTINS;21.895;10;4 - 20001 até 50000;2 - Nordeste;MASCULINO;1;PL;2,560317252;2,166443468;0,393873784;13724;3537;17261;6298;5913;36;34;2;14.348;2027;16375;6263;5671;38;35;4;1;Administração, defesa, educação e saúde públicas e seguridade social;10.091,56;Sim;Não;Sim;Sim;Sim;Não;Sim;Sim;Sim;01/05/2020;198;0,754285714;https://paraiba,pb,gov,br/noticias/governo-prorroga-medidas-de-isolamento-social-e-torna-obrigatorio-uso-de-mascaras-em-espacos-publicos;20/03/2020;240;0,954545455;Decreto Nº 40135 DE 20/03/2020;0,3783;0,5326;0,3121;0,4392;0,5298;0,3118;0,0609;0;-0,0028;1;-0,0003;1
Cabo de santo agostinho;PE;LULA CABRAL;BETINHO;KEKO DO ARMAZEM;210.796;12;6 - 100001 até 500000;2 - Nordeste;MASCULINO;0;PSB;2,863997109;2,232404001;0,631593108;136514;25711;162225;66970;44028;41;27;14;130.451;22611;153062;33449;54305;22;35;-14;-28;Demais serviços;48.296,36;Sim;Sim;Não;Sim;Sim;Sim;Sim;Sim;Sim;31/07/2020;107;0,234285714;DECRETO Nº 49,252, DE 31 DE JULHO DE 2020,;20/03/2020;240;0,954545455;DECRETO Nº 48,834, DE 20 DE MARÇO DE 2020;0,5446;0,5719;0,6425;0,5593;0,5429;0,6413;0,0147;0;-0,029;1;-0,0012;1
Jaboatao dos guararapes;PE;ANDERSON FERREIRA;NECO;DANIEL ALVES;711.330;13;7 - Maior que 500000;2 - Nordeste;MASCULINO;1;PL;2,526378891;3,734115037;-1,207736146;368313;75539;443852;99670;87490;22;20;3;348.251;106664;454915;144586;81827;32;18;14;11;Demais serviços;18.809,45;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Sim;31/07/2020;107;0,234285714;DECRETO Nº 49,252, DE 31 DE JULHO DE 2020,;20/03/2020;240;0,954545455;DECRETO Nº 48,834, DE 20 DE MARÇO DE 2020;0,525;0,5049;0,6205;0,5196;0,5067;0,5752;-0,0054;1;0,0018;0;-0,0453;1
Olinda;PE;PROFESSOR LUPERCIO;ANTÔNIO CAMPOS;JOÃO PAULO;393.734;13;6 - 100001 até 500000;2 - Nordeste;MASCULINO;1;SOLIDARIEDADE;2,152488493;4,977854149;-2,825365656;242370;16958;259328;46476;55995;18;22;-4;231.439;51513;282952;123534;45289;44;16;28;31;Demais serviços;14.314,03;Sim;Não;Não;Sim;Sim;Sim;Sim;Sim;Sim;17/07/2020;121;0,314285714;DECRETO N° 124/2020;20/03/2020;240;0,954545455;DECRETO Nº 48,834, DE 20 DE MARÇO DE 2020;0,5214;0,4945;0,653;0,531;0,5187;0,6266;0,0096;0;0,0242;0;-0,0264;1
Petrolina;PE;MIGUEL COELHO;ODACY AMORIM;JULIO LOSSIO FILHO;359.372;13;6 - 100001 até 500000;2 - Nordeste;MASCULINO;1;MDB;1,665062186;3,584928913;-1,919866727;168514;15364;183878;60509;39618;33;22;11;170.622;39737;210359;121300;15567;58;7;50;39;Demais serviços;19.416,68;Não;Sim;Não;Sim;Não;Sim;Sim;Não;Sim;31/05/2020;168;0,582857143;Decreto Nº 49055 DE 31/05/2020;23/03/2020;237;0,920454545;Decreto N,º 018/2020,;0,5681;0,5331;0,6479;0,6583;0,6625;0,654;0,0902;0;0,1294;0;0,0061;0
Vitoria de santo antao;PE;AGLAILSON;PAULO ROBERTO;PAULO ROBERTO;140.389;12;6 - 100001 até 500000;2 - Nordeste;MASCULINO;0;PSB;2,270911295;2,964597944;-0,693686649;83748;4631;88379;30935;30019;35;34;1;80.788;14156;94944;26532;40665;28;43;-15;-16;Demais serviços;30.132,25;Sim;Não;Não;Sim;Sim;Sim;Sim;Sim;Sim;31/05/2020;168;0,582857143;Decreto Nº 49055 DE 31/05/2020;20/03/2020;240;0,954545455;DECRETO N2 014 de 20 de MARÇO de 2020, ;0,4296;0,3722;0,5413;0,494;0,4957;0,5704;0,0644;0;0,1235;0;0,0291;0
Barras;PI;CARLOS MONTE;EDILSON CAPOTE;CAPOTE;47.298;11;4 - 20001 até 50000;2 - Nordeste;MASCULINO;0;PTB;2,45690348;1,996117282;0,460786198;29361;2927;32288;14299;13091;44;41;4;28.791;5953;34744;10257;13825;30;40;-10;-14;Administração, defesa, educação e saúde públicas e seguridade social;9.950,15;Não;Não;Sim;Sim;Sim;Não;Sim;Sim;Sim;22/04/2020;207;0,805714286;Decreto Nº 18947 DE 22/04/2020;21/03/2020;239;0,943181818;DECRETO 05/2020;0,3497;0,4113;0,2956;0,413;0,4421;0,2969;0,0633;0;0,0308;0;0,0013;0
Campo maior;PI;PROFESSOR RIBINHA;JOÃOZINHO FÉLIX;JOÃOZINHO FÉLIX;46.950;11;4 - 20001 até 50000;2 - Nordeste;MASCULINO;0;PT;2,355003933;2,181826496;0,173177437;29732;2058;31790;14264;12062;45;38;7;28.437;5437;33874;11439;12748;34;38;-4;-11;Administração, defesa, educação e saúde públicas e seguridade social;14.081,19;Não;Não;Sim;Sim;Sim;Sim;Sim;Não;Sim;22/04/2020;207;0,805714286;DECRETO Nº 035/2020, DE 22 DE ABRIL DE 2020,;20/03/2020;240;0,954545455;DECRETO Nº 028/2020, DE 20 DE MARÇO DE 2020,;0,3965;0,3083;0,3985;0,4697;0,4081;0,4125;0,0732;0;0,0998;0;0,014;0
Floriano;PI;JOEL RODRIGUES;ALMIR REIS;BILU CLAUDEMIR REZENDE;60.111;11;5 - 50001 até 100000;2 - Nordeste;MASCULINO;1;PP;2,793180314;2,345688179;0,447492135;35983;6023;42006;16040;15328;38;36;2;33.984;8895;42879;14429;9742;34;23;11;9;Demais serviços;21.866,04;Não;Não;Sim;Sim;Não;Sim;Sim;Sim;Sim;22/04/2020;207;0,805714286;Decreto Nº 18947 DE 22/04/2020;20/03/2020;240;0,954545455;Decreto nº 036, de 20 de Março de 2020;0,4373;0,3583;0,5313;0,5055;0,5191;0,5513;0,0682;0;0,1608;0;0,02;0
Parnaiba;PI;MÃO SANTA;FLORENTINO;DR HELIO;153.863;12;6 - 100001 até 500000;2 - Nordeste;MASCULINO;1;DEM;1,856665802;2,454497943;-0,597832141;85979;12357;98336;35585;34462;36;35;1;83.864;19483;103347;52075;20123;50;19;31;30;Demais serviços;17.021,64;Sim;Não;Sim;Sim;Sim;Não;Sim;Sim;Sim;22/04/2020;207;0,805714286;Decreto Nº 18947 DE 22/04/2020;23/03/2020;237;0,920454545;DECRETO Nº 18,902, DE 23 DE MARÇO DE 2020;0,3826;0,3436;0,4929;0,4422;0,4302;0,5223;0,0596;0;0,0866;0;0,0294;0
Piripiri;PI;LUIZ MENEZES;JÔVE OLIVEIRA;JÔVE OLIVEIRA;63.829;11;5 - 50001 até 100000;2 - Nordeste;MASCULINO;0;PP;2,098293325;2,049104677;0,049188648;39314;8678;47992;17956;17729;37;37;0;37.775;11953;49728;17110;17671;34;36;-1;-2;Administração, defesa, educação e saúde públicas e seguridade social;14.159,14;Sim;Não;Sim;Sim;Não;Sim;Sim;Sim;;01/05/2020;198;0,754285714;DECRETO 1699/2020;20/03/2020;240;0,954545455;DECRETO 1680/2020;0,4855;0,5654;0,4019;0,5409;0,6308;0,4434;0,0554;0;0,0654;0;0,0415;0
Curitiba;PR;RAFAEL GRECA;NEY LEPREVOST;GOURA;1.963.726;14;7 - Maior que 500000;4 - Sul;MASCULINO;1;DEM;2,597457674;3,970100915;-1,372643241;1077252;211952;1289204;356539;219727;28;17;11;942.467;407421;1349888;499821;110977;37;8;29;18;Demais serviços;45.318,46;Não;Não;Sim;Sim;Não;Sim;Sim;Sim;Sim;16/06/2020;152;0,491428571;DECRETO Nº 796;26/03/2020;234;0,886363636;DECRETO Nº 470;0,8049;0,8198;0,8926;0,8074;0,8158;0,9151;0,0025;0;-0,004;1;0,0225;0
Foz do iguacu;PR;CHICO BRASILEIRO;PHELIPE MANSUR;PAULO MAC DONALD;257.971;12;6 - 100001 até 500000;4 - Sul;MASCULINO;1;PSD;3,00053621;2,151352161;0,849184049;150839;14891;165730;54488;23572;33;14;19;141.027;42279;183306;54252;51595;30;28;1;-17;Eletricidade e gás, água, esgoto, atividades de gestão de resíduos e descontaminação;69.247,40;Não;Não;Sim;Sim;Sim;Sim;Sim;Sim;Sim;14/06/2020;154;0,502857143;DECRETO Nº 28,205, DE 14 DE JUNHO DE 2020;22/03/2020;238;0,931818182;DECRETO Nº 27,982, DE 22 DE MARÇO DE 2020;0,6535;0,583;0,8;0,6967;0,6719;0,7777;0,0432;0;0,0889;0;-0,0223;1
Londrina;PR;MARCELO BELINATI;VALTER ORSI;BOCA ABERTA;580.870;13;7 - Maior que 500000;4 - Sul;MASCULINO;1;PP;1,682450075;2,522263563;-0,839813488;301984;51330;353314;136360;93415;39;26;12;278.784;97289;376073;175331;18558;47;5;42;30;Demais serviços;37.766,29;Sim;Não;Sim;Sim;Sim;Sim;Sim;Sim;Sim;09/04/2020;220;0,88;DECRETO Nº 457 DE 09 DE ABRIL DE 2020;19/03/2020;241;0,965909091;DECRETO Nº 346, DE 19 DE MARÇO DE 2020;0,7714;0,762;0,9089;0,7769;0,7382;0,9077;0,0055;0;-0,0238;1;-0,0012;1
Maringa;PR;ULISSES MAIA;SILVIO BARROS;HOMERO MARCHESE;436.472;13;6 - 100001 até 500000;4 - Sul;MASCULINO;1;PSD;2,696241562;3,399490122;-0,703248561;213696;48020;261716;56156;77196;21;29;-8;195.581;83919;279500;103010;34152;37;12;25;33;Demais serviços;46.507,74;Não;Não;Sim;Sim;Não;Sim;Sim;Sim;Sim;17/04/2020;212;0,834285714;DECRETO N,º 566/2020;18/03/2020;242;0,977272727;DECRETO N,º 445/2020;0,8291;0,8171;0,9151;0,8525;0,8352;0,9443;0,0234;0;0,0181;0;0,0292;0
Paranagua;PR;MARCELO ROQUE;ANDRE PIOLI;ADRIANO RAMOS;157.378;12;6 - 100001 até 500000;4 - Sul;MASCULINO;1;PODE;2,468872998;2,943640651;-0,474767652;84269;8047;92316;32399;25446;35;28;8;78.809;22594;101403;36444;27265;36;27;9;2;Demais serviços;77.282,41;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Sim;08/04/2020;221;0,885714286;DECRETO Nº 1,940;20/03/2020;240;0,954545455;DECRETO Nº 1,917;0,6023;0,4669;0,8094;0,6295;0,4983;0,8153;0,0272;0;0,0314;0;0,0059;0
Belford roxo;RJ;WAGUINHO;DR,DEODALTO;CRISTIANO SANTOS;515.239;13;7 - Maior que 500000;3 - Sudeste;MASCULINO;1;MDB;1,504955703;2,755699041;-1,250743338;264288;64489;328777;102777;65955;31;20;11;246.114;79682;325796;162720;25565;50;8;42;31;Administração, defesa, educação e saúde públicas e seguridade social;17.079,09;Sim;Não;Sim;Sim;Sim;Sim;Sim;Sim;Sim;15/06/2020;153;0,497142857;DECRETO N° 4,904, DE 15 DE JUNHO DE 2020;30/03/2020;230;0,840909091;DECRETO Nº 4871, DE 30 DE MARÇO DE 2020;0,3656;0,3629;0,4475;0,3595;0,3014;0,397;-0,0061;1;-0,0615;1;-0,0505;1
Campos dos goytacazes;RJ;RAFAEL DINIZ;DR, CHICÃO;WLADIMIR GAROTINHO;514.643;13;7 - Maior que 500000;3 - Sudeste;MASCULINO;0;CIDADANIA;3,478271048;2,454337179;1,023933869;292646;66677;359323;151462;81989;42;23;19;270.753;89873;360626;13530;106526;4;30;-26;-45;Demais serviços;46.641,88;Sim;Não;Não;Sim;Sim;Sim;Sim;Sim;Sim;25/05/2020;174;0,617142857;DECRETO Nº 111/2020;03/04/2020;226;0,795454545;DECRETO Nº 051/2020;0,5386;0,5633;0,628;0,5351;0,5266;0,6241;-0,0035;1;-0,0367;1;-0,0039;1
Duque de caxias;RJ;WASHINGTON REIS;DICA;MARCELO DINO;929.449;14;7 - Maior que 500000;3 - Sudeste;MASCULINO;1;MDB;3,027887816;3,953520981;-0,925633165;509282;118882;628164;149782;87643;24;14;10;502.547;155453;658000;212354;71335;32;11;21;12;Demais serviços;50.997,67;Sim;Não;Sim;Sim;Sim;Sim;Sim;Sim;Sim;22/04/2020;207;0,805714286;Decreto nº 7,562, em 22/04;14/04/2020;215;0,670454545;DECRETO Nº 7,559, DE 14 DE ABRIL DE 2020,;0,5161;0,5333;0,6915;0,5081;0,4977;0,6604;-0,008;1;-0,0356;1;-0,0311;1
Nova iguacu;RJ;ROGERIO LISBOA;BORNIER;MAX LEMOS;825.388;14;7 - Maior que 500000;3 - Sudeste;MASCULINO;1;PP;2,383619695;3,067348424;-0,683728729;465686;117950;583636;157986;131531;27;23;5;435.797;151188;586985;218396;48740;37;8;29;24;Demais serviços;20.895,09;Sim;Não;Não;Sim;Sim;Não;Sim;Sim;Sim;03/06/2020;165;0,565714286;LEI Nº 8,859, DE 03 DE JUNHO DE 2020,;21/03/2020;239;0,943181818;21 de março de 2020;0,4853;0,5249;0,5812;0,4716;0,4987;0,527;-0,0137;1;-0,0262;1;-0,0542;1
Rio de janeiro;RJ;CRIVELLA;MARCELO FREIXO;EDUARDO PAES;6.775.561;16;7 - Maior que 500000;3 - Sudeste;MASCULINO;0;REPUBLICANOS;4,585491121;5,782401206;-1,196910085;3708857;1189187;4898044;842201;553424;17;11;6;3.261.011;1590876;4851887;576825;974804;12;20;-8;-14;Demais serviços;49.094,40;Sim;Não;Sim;Sim;Não;Não;Sim;Sim;Sim;18/04/2020;211;0,828571429;DECRETO RIO Nº 47,375, DE 18 DE ABRIL DE 2020;21/03/2020;239;0,943181818; DECRETO RIO Nº 47282 ;0,7147;0,7311;0,8739;0,7397;0,7162;0,8607;0,025;0;-0,0149;1;-0,0132;1
Volta redonda;RJ;SAMUCA SILVA;BALTAZAR;NETO;274.925;13;6 - 100001 até 500000;3 - Sudeste;MASCULINO;0;PSC;2,787441971;4,251739506;-1,464297534;180817;42423;223240;39547;50881;18;23;-5;166.140;56851;222991;13889;85673;6;38;-32;-27;Demais serviços;42.448,64;Sim;Sim;Não;Sim;Não;Não;Sim;Sim;Sim;16/04/2020;213;0,84;DECRETO Nº 16,124;20/03/2020;240;0,954545455;DECRETO Nº 16,082;0,6775;0,7139;0,7781;0,6817;0,6435;0,8053;0,0042;0;-0,0704;1;0,0272;0
Caico;RN;BATATA;ROBERTO GERMANO;DR TADEU;68.726;11;5 - 50001 até 100000;2 - Nordeste;MASCULINO;0;MDB;3,446192105;3,75366339;-0,307471285;37391;4089;41480;12687;9767;31;24;7;35.998;7337;43335;8301;14248;19;33;-14;-21;Demais serviços;18.883,59;Sim;Não;Sim;Sim;Não;Não;Sim;Sim;Sim;14/05/2020;185;0,68;DECRETO 769 DE 14 DE MAIO DE 2020 ;24/03/2020;236;0,909090909;DECRETO Nº 748, DE 24 DE MARÇO DE 2020, ;0,5091;0,4809;0,5381;0,6143;0,6306;0,5591;0,1052;0;0,1497;0;0,021;0
Currais novos;RN;ODON JR;CARLSON GOMES;ZÉ LINS;45.022;11;4 - 20001 até 50000;2 - Nordeste;MASCULINO;1;PT;2,595275678;2,649097731;-0,053822053;25454;7292;32746;10497;9628;32;29;3;24.827;5773;30600;10907;8958;36;29;6;4;Administração, defesa, educação e saúde públicas e seguridade social;16.670,54;Não;Não;Não;Sim;Sim;Não;Sim;Sim;Sim;29/04/2020;200;0,765714286;DECRETO Nº 4,926, DE 29 DE ABRIL DE 2020,;01/04/2020;228;0,818181818;DECRETO Nº 29,583, DE 1º DE ABRIL DE 2020,;0,5331;0,5592;0,4873;0,6178;0,6855;0,4957;0,0847;0;0,1263;0;0,0084;0
Extremoz;RN;JOAZ;PADRE EDILSON;JUSSARA SALES;29.282;10;4 - 20001 até 50000;2 - Nordeste;MASCULINO;0;PATRIOTA;4,770331445;2,826317384;1,944014062;19295;2902;22197;8998;4236;41;19;21;20.678;3511;24189;2671;5719;11;24;-13;-34;Administração, defesa, educação e saúde públicas e seguridade social;18.817,17;Não;Não;Não;Sim;Sim;Sim;Sim;Sim;Sim;05/05/2020;194;0,731428571;DECRETO Nº020, DE 05 DE MAIO DE 2020;30/03/2020;230;0,840909091;DECRETO Nº 013/2020;0,3851;0,4359;0,4058;0,4626;0,4811;0,4158;0,0775;0;0,0452;0;0,01;0
Mossoro;RN;ROSALBA CIARLINI;TIÃO;ALLYSON;303.792;13;6 - 100001 até 500000;2 - Nordeste;FEMININO;0;PP;2,411548913;2,359838192;0,051710721;144413;22707;167120;67476;51990;40;31;9;145.751;30181;175932;59034;65297;34;37;-4;-13;Demais serviços;23.838,91;Sim;Sim;Sim;Sim;Não;Sim;Sim;Sim;Sim;24/04/2020;205;0,794285714;5,664/2020 ;23/03/2020;237;0,920454545;DECRETO Nº 5631, DE 23 DE MARÇO DE 2020;0,5957;0,5724;0,7157;0,6412;0,6168;0,7312;0,0455;0;0,0444;0;0,0155;0
Touros;RN;ASSIS DO HOSPITAL;DR, ALISSON;PEDRO FILHO;33.716;10;4 - 20001 até 50000;2 - Nordeste;MASCULINO;0;PP;3,093167712;1,376134303;1,717033408;21487;3905;25392;13937;2721;55;11;44;21.283;3502;24785;7476;8310;30;34;-3;-48;Administração, defesa, educação e saúde públicas e seguridade social;18.206,68;Não;Não;Sim;Sim;Sim;Sim;Sim;Sim;Sim;04/05/2020;195;0,737142857;DECRETO Nº 29,668, DE 04 DE MAIO DE 2020,;20/03/2020;240;0,954545455;Decreto Nº 29541 DE 20/03/2020;0,3788;0,4662;0,3558;0,4335;0,527;0,3712;0,0547;0;0,0608;0;0,0154;0
Costa marques;RO;MIRANDÃO;JACQUELINE;PROFESSOR SERGINHO;19.255;10;3 - 10001 até 20000;1 - Norte;MASCULINO;1;REPUBLICANOS;1,627913342;2,793612587;-1,165699245;6862;2168;9030;2775;2359;31;26;5;6.761;2603;9364;4789;1691;51;18;33;28;Administração, defesa, educação e saúde públicas e seguridade social;13.936,50;Não;Não;Não;Sim;Sim;Não;Não;Não;Sim;18/05/2020;181;0,657142857;DECRETO 217/2020;20/03/2020;240;0,954545455;DECRETO Nº 24,887, DE 20 DE MARÇO DE 2020,;0,3558;0,3963;0,3997;0,3534;0,3732;0,3631;-0,0024;1;-0,0231;1;-0,0366;1
Ouro preto do oeste;RO;VAGNO PANISOLY;ROSÁRIA HELENA;ALEX TESTONI;35.445;10;4 - 20001 até 50000;1 - Norte;MASCULINO;0;MDB;1,999563683;1,997786862;0,001776821;21246;8470;29716;9686;9062;33;30;2;20.712;9678;30390;9671;9961;32;33;-1;-3;Administração, defesa, educação e saúde públicas e seguridade social;24.769,65;Não;Não;Sim;Sim;Sim;Sim;Sim;Sim;Sim;16/06/2020;152;0,491428571;DECRETO N° 13454 ;23/03/2020;237;0,920454545;DECRETO N° 13,258;0,5549;0,4968;0,6182;0,5941;0,5723;0,6522;0,0392;0;0,0755;0;0,034;0
Seringueiras;RO;LEONILDE GARDA;GALEGO;ARMANDO;11.846;9;3 - 10001 até 20000;1 - Norte;FEMININO;0;PDT;3,724988095;2,890585651;0,834402444;7452;1910;9362;3025;2054;32;22;10;7.493;2504;9997;1104;2793;11;28;-17;-27;Administração, defesa, educação e saúde públicas e seguridade social;21.146,51;Sim;Não;Sim;Sim;Sim;Sim;Não;Sim;Sim;29/05/2020;170;0,594285714;DECRETO113/2020;21/03/2020;239;0,943181818;DECRETO 59/2020;0,488;0,5293;0,4712;0,5045;0,5506;0,4851;0,0165;0;0,0213;0;0,0139;0
Urupa;RO;CELIO LANG;ZÉ ROBERTO;SERJÃO;11.081;9;3 - 10001 até 20000;1 - Norte;MASCULINO;1;PP;2,568067898;1,899372498;0,6686954;7446;2194;9640;4281;2679;44;28;17;7.182;2567;9749;3591;1842;37;19;18;1;Administração, defesa, educação e saúde públicas e seguridade social;20.209,46;Sim;Não;Sim;Sim;Sim;Não;Não;Sim;Sim;27/04/2020;202;0,777142857;DECRETO 78/2020 ;21/03/2020;239;0,943181818;DECRETO 55/2020;0,4657;0,5367;0,447;0,5326;0,5808;0,5489;0,0669;0;0,0441;0;0,1019;0
Vilhena;RO;EDUARDO JAPONÊS;ROSANI DONADON;ROSANI DONADON;104.517;12;6 - 100001 até 500000;1 - Norte;FEMININO;0;PSC;3,222215119;1,932583195;1,289631924;43815;14763;58578;16822;1343;29;2;26;44.704;16478;61182;16714;13882;27;23;5;-22;Demais serviços;30.847,95;Sim;Não;Sim;Sim;Sim;Sim;Sim;Sim;Sim;17/04/2020;212;0,834285714;Decreto Nº 24961 DE 17/04/2020;20/03/2020;240;0,954545455;DECRETO Nº 48,795 DE 20 DE MARÇO DE 2020;0,6321;0,5583;0,7992;0,6629;0,6257;0,8396;0,0308;0;0,0674;0;0,0404;0
Canta;RR;CARLOS BARBUDO;ANDRÉ;ANDRÉ CASTRO;19.257;10;3 - 10001 até 20000;1 - Norte;MASCULINO;0;PROS;2,52720018;6,652148233;-4,124948052;9967;1727;11694;1918;1720;16;15;2;10.768;2126;12894;3171;5508;25;43;-18;-20;Administração, defesa, educação e saúde públicas e seguridade social;17.295,69;Não;Não;Sim;Sim;Sim;Não;Não;Não;Sim;27/05/2020;172;0,605714286;Decreto Nº 28835- E DE 27/05/2020;20/05/2020;179;0,261363636;https://g1,globo,com/rr/roraima/noticia/2020/05/20/prefeitura-do-canta-restringe-acesso-para-moradores-de-outras-cidades-e-cria-regras-para-o-comercio-em-razao-do-coronavirus,ghtml;0,295;0,3456;0,3383;0,3402;0,2545;0,4243;0,0452;0;-0,0911;1;0,086;0
Normandia;RR;GUTE BRASIL;JAIRO ARAÚJO;DR RAPOSO;11.772;9;3 - 10001 até 20000;1 - Norte;MASCULINO;0;PL;5,627241012;2,721465734;2,905775278;5608;702;6310;2356;2073;37;33;4;6.141;771;6912;1225;1463;18;21;-3;-8;Administração, defesa, educação e saúde públicas e seguridade social;16.892,62;Sim;Não;Sim;Sim;Sim;Não;Não;Sim;Sim;27/05/2020;172;0,605714286;Decreto Nº 28835- E DE 27/05/2020;23/03/2020;237;0,920454545;DECRETO EXECUTIVO Nº 124/2020;0,237;0,2738;0,2724;0,2455;0,2334;0,217;0,0085;0;-0,0404;1;-0,0554;1
