Município;Estado;Nome do Incumbente;Nome do Principal Adversário em 2016;Nome do Principal Adversário em 2020;População;ln_pop;Faixa de População;Região do País;Gênero;reeleito;Partido;Número efetivo de candidatos de 2020;Número efetivo de candidatos de 2016;delta_nec (2020-2016);Votos válidos 2016;Abstenção 2016;Eleitores 2016;Voto do Incumbente em 2016;Voto do Principal Adversário de 2016;% do eleitorado do Incumbente 2016;% do eleitorado do P, Adversário 2016;Vantagem do Incumbente no primeiro turno 2016;Votos válidos 2020;Abstenção 2020;Eleitores 2020;Voto do Incumbente em 2020;Voto do Principal Adversário de 2020;% do eleitorado do Incumbente 2020;% do eleitorado do P, Adversário 2020;Vantagem do Incumbente no primeiro turno 2020;delta_vantagem (2020-2016);Atividade com maior valor adicionado bruto;Produto Interno Bruto per capita,  a preços correntes (R$ 1,00);Durante o período da pandemia do COVID-19 foi necessário manter pessoas por mais de 24 horas em unidades sem internação;Foi instalado hospital de campanha durante a pandemia da COVID-19 no município;Houve a instalação de tendas de triagem para o combate da COVID-19, no município;Local (público ou privado) com condições de realizar testes PCR ou sorológicos em pacientes suspeitos de COVID-19 - existência;Nos casos de internação por COVID-19, houve necessidade de referenciar o(s) paciente(s) para outro município;O número de internações ultrapassou a capacidade de leitos e de unidades de tratamento intensivo (UTI) públicos ou privados con;O número de leitos foi ampliado para atender à demanda por internação no município em virtude da COVID-19;Serviço de atendimento de emergência - Serviço público municipal;Vigilância epidemiológica;Obrigatoriedade de máscara;Dias da eleição - Máscara;Dias da eleição - Máscara (Normalizado);;Início da restrição ao comércio;Dias da eleição - Restrição ao comércio;Dias da eleição - Restrição ao comércio (Normalizado);;IFDM 2016;IFDM Saúde 2016;IFDM Emprego 2016;IFDM 2020;IFDM Saúde 2020;IFDM Emprego 2020;delta_firjan_geral_16_20;piora_geral_16_20;delta_firjan_saude_16_20;piora_saude_16_20;delta_firjan_emprego_16_20;piora_emprego_16_20
Pacaraima;RR;JULIANO TORQUATO;TEIA MOTA;WALDERY DAVILA;20.108;10;4 - 20001 até 50000;1 - Norte;MASCULINO;1;REPUBLICANOS;2,380469825;3,717669686;-1,33719986;7148;1473;8621;2671;2028;31;24;7;6.316;1817;8133;2959;2541;36;31;5;-2;Administração, defesa, educação e saúde públicas e seguridade social;15.358,91;Sim;Não;Sim;Sim;Sim;Não;Não;Sim;Não;27/05/2020;172;0,605714286;Decreto Nº 28835- E DE 27/05/2020;22/03/2020;238;0,931818182;Decreto Nº 28635-E DE 22/03/2020;0,2529;0,277;0,303;0,3148;0,2965;0,3671;0,0619;0;0,0195;0;0,0641;0
Sao luiz;RR;JAMES BATISTA;PROF, ITAMAR;MIGUEL RODRIGUES;8.232;9;2 - 5001 até 10000;1 - Norte;MASCULINO;1;SOLIDARIEDADE;1,807622126;3,230492309;-1,422870183;4493;712;5205;1652;1286;32;25;7;4.647;749;5396;2925;1486;54;28;27;20;Administração, defesa, educação e saúde públicas e seguridade social;20.364,42;Sim;Não;Não;Sim;Sim;Não;Não;Não;Sim;27/05/2020;172;0,605714286;Decreto Nº 28835- E DE 27/05/2020;22/03/2020;238;0,931818182;Decreto Nº 28635-E DE 22/03/2020;0,3446;0,4451;0,2817;0,3849;0,4025;0,326;0,0403;0;-0,0426;1;0,0443;0
Uiramuta;RR;DEDEL;PROF, ZELANDES;TUXAUA BENISIO;11.014;9;3 - 10001 até 20000;1 - Norte;MASCULINO;0;PP;2,837985304;3,041805079;-0,203819774;4544;798;5342;1480;663;28;12;15;5.040;668;5708;1674;2066;29;36;-7;-22;Administração, defesa, educação e saúde públicas e seguridade social;11.985,64;Não;Não;Sim;Sim;Sim;Não;Não;Sim;Sim;30/04/2020;199;0,76;DECRETO 12/2020;23/03/2020;237;0,920454545;DECRETO 008/2020;0,151;0,3034;0,1197;0,1605;0,1948;0,1467;0,0095;0;-0,1086;1;0,027;0
Bage;RS;DIVALDO LARA;DR FICO;MAINARDI;121.518;12;6 - 100001 até 500000;4 - Sul;MASCULINO;1;PTB;2,442414873;1,669993863;0,77242101;72686;18969;91655;45948;11060;50;12;38;65.475;25454;90929;30623;24218;34;27;7;-31;Demais serviços;25.942,27;Sim;Não;Não;Sim;Sim;Não;Sim;Sim;Sim;30/04/2020;199;0,76;DECRETO 068/2020;19/03/2020;241;0,965909091;DECRETO 050/2020;0,5588;0,5456;0,6624;0,6249;0,6783;0,6645;0,0661;0;0,1327;0;0,0021;0
Cachoeira do sul;RS;SÉRGIO GHIGNATTI;BALARDIN;JOSÉ OTÁVIO GERMANO;81.552;11;5 - 50001 até 100000;4 - Sul;MASCULINO;0;PL;4,743269775;3,972853601;0,770416174;52655;16534;69189;17728;9755;26;14;12;46.372;20704;67076;9215;13574;14;20;-6;-18;Demais serviços;28.933,11;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Sim;;10/05/2020;189;0,702857143;DECRETO Nº 55,240, DE 10 DE MAIO DE 2020;20/03/2020;240;0,954545455;https://www,cachoeiradosul,rs,gov,br/portal/noticias/0/3/4133/saiba-o-que-o-que-nao-pode-funcionar-em-cachoeira-do-sul-nos-proximos-15-dias/;0,5796;0,615;0,6531;0,6461;0,7665;0,6371;0,0665;0;0,1515;0;-0,016;1
Guaiba;RS;SPEROTTO;MARANATA;MARCELO MARANATA;98.331;11;5 - 50001 até 100000;4 - Sul;MASCULINO;0;PTB;3,252230808;2,215377859;1,036852949;60754;12319;73073;28434;18880;39;26;13;54.242;20245;74487;18295;18507;25;25;0;-13;Demais serviços;59.309,03;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Sim;11/05/2020;188;0,697142857;DECRETO MUNICIPAL Nº 65, DE 11 DE MAIO DE 2020;21/03/2020;239;0,943181818;DECRETO MUNICIPAL Nº 37/2020;0,5739;0,6064;0,6667;0,5774;0,5821;0,6793;0,0035;0;-0,0243;1;0,0126;0
Novo hamburgo;RS;FATIMA DAUDT;PAULO RITZEL;DELEGADO ZUCCO;247.303;12;6 - 100001 até 500000;4 - Sul;FEMININO;1;PSDB;3,2228836;3,70004172;-0,47715812;146654;31484;178138;36435;33223;20;19;2;126.445;51545;177990;51467;26095;29;15;14;12;Demais serviços;37.575,54;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Sim;25/04/2020;204;0,788571429;https://gauchazh,clicrbs,com,br/coronavirus-servico/noticia/2020/04/prefeitura-de-novo-hamburgo-decreta-uso-obrigatorio-de-mascaras-para-quem-sair-as-ruas-ck9fuiry0004v017npxdc4hiv,html;20/03/2020;240;0,954545455;DECRETO Nº 9,169/2020, DE 20 DE MARÇO DE 2020,;0,6991;0,707;0,8789;0,7597;0,7644;0,8907;0,0606;0;0,0574;0;0,0118;0
Uruguaiana;RS;RONNIE MELLO;SCHNEIDER;DELEGADO EPIFÂNIO;126.766;12;6 - 100001 até 500000;4 - Sul;MASCULINO;1;PP;1,764945086;2,137933456;-0,37298837;67035;23215;90250;28305;9783;31;11;21;57.925;28655;86580;40409;10568;47;12;34;14;Demais serviços;22.387,44;Sim;Não;Sim;Sim;Sim;Sim;Sim;Sim;Sim;10/05/2020;189;0,702857143;DECRETO Nº 55,240, DE 10 DE MAIO DE 2020;19/03/2020;241;0,965909091;https://g1,globo,com/rs/rio-grande-do-sul/noticia/2020/03/19/governo-decreta-situacao-de-calamidade-publica-no-rs-devido-ao-coronavirus,ghtml;0,5637;0,5352;0,6644;0,5892;0,5739;0,6391;0,0255;0;0,0387;0;-0,0253;1
Itajai;SC;VOLNEI MORASTONI;ANNA CAROLINA;ROBISON COELHO;226.617;12;6 - 100001 até 500000;4 - Sul;MASCULINO;1;MDB;2,304165474;2,954759072;-0,650593597;117462;25669;143131;38613;27824;27;19;8;113.680;34104;147784;49888;46734;34;32;2;-5;Comércio e reparação de veículos automotores e motocicletas;148.284,92;Sim;Não;Sim;Sim;Sim;Sim;Sim;Sim;Sim;07/05/2020;192;0,72;https://leismunicipais,com,br/a/sc/i/itajai/decreto/2020/1189/11885/decreto-n-11885-2020-dispoe-sobre-o-uso-obrigatorio-de-mascaras-de-protecao-para-enfrentamento-ao-coronavirus-covid-19-no-municipio-de-itajai-e-da-outras-providencias;23/03/2020;237;0,920454545;DECRETO Nº 525, DE 23 DE MARÇO DE 2020;0,749;0,6935;0,8762;0,781;0,7367;0,9029;0,032;0;0,0432;0;0,0267;0
Jaragua do sul;SC;ANTIDIO LUNELLI;IVO KONELL;LEANDRO SCHMOCKEL;184.579;12;6 - 100001 até 500000;4 - Sul;MASCULINO;1;MDB;1,708427533;2,903720424;-1,195292891;96690;17659;114349;37957;24953;33;22;11;89.476;24747;114223;56476;23455;49;21;29;18;Indústrias de transformação;55.108,89;Não;Não;Não;Sim;Não;Não;Sim;Não;Sim;13/04/2020;216;0,857142857;DECRETO Nº 13,745/2020;23/03/2020;237;0,920454545;DECRETO Nº 525, DE 23 DE MARÇO DE 2020;0,7788;0,719;0,8759;0,8141;0,7776;0,933;0,0353;0;0,0586;0;0,0571;0
Lages;SC;ANTONIO CERON;MARCIUS MACHADO;CARMEN ZANOTTO;157.158;12;6 - 100001 até 500000;4 - Sul;MASCULINO;1;PSD;3,196637098;2,963309633;0,233327465;100952;21124;122076;35242;30525;29;25;4;88.828;34173;123001;28329;28273;23;23;0;-4;Demais serviços;37.369,21;Sim;Não;Sim;Sim;Sim;Não;Sim;Sim;Sim;13/04/2020;216;0,857142857;DECRETO Nº 17,970, DE 13 DE ABRIL DE 2020,;23/03/2020;237;0,920454545;DECRETO Nº 525, DE 23 DE MARÇO DE 2020;0,6711;0,576;0,8379;0,7191;0,6293;0,8546;0,048;0;0,0533;0;0,0167;0
Sao bento do sul;SC;MAGNO BOLLMANN;TOMAZINI;TOMAZINI;86.317;11;5 - 50001 até 100000;4 - Sul;MASCULINO;0;PP;3,376742979;2,953936132;0,422806847;51125;9288;60413;18048;17903;30;30;0;46.917;14755;61672;10985;17288;18;28;-10;-10;Indústrias de transformação;42.665,85;Sim;Não;Não;Sim;Sim;Sim;Sim;Não;Sim;15/07/2020;123;0,325714286;DECRETO Nº 1,844, DE 15 DE JULHO DE 2020;24/03/2020;236;0,909090909;DECRETO Nº 1,720, DE 24 DE MARÇO DE 2020;0,7793;0,6785;0,9023;0,8241;0,7252;0,9744;0,0448;0;0,0467;0;0,0721;0
Tubarao;SC;JOARES PONTICELLI;CARLOS STÜPP;DR CRISTIANO;107.143;12;6 - 100001 até 500000;4 - Sul;MASCULINO;1;PP;1,994433329;3,078777333;-1,084344004;63975;12082;76057;26555;15930;35;21;14;56.842;21652;78494;35023;10898;45;14;31;17;Demais serviços;37.995,67;Não;Não;Sim;Sim;Sim;Sim;Sim;Não;Sim;26/06/2020;142;0,434285714;DECRETO Nº 5,118, DE 26 DE JUNHO DE 2020,;18/03/2020;242;0,977272727;DECRETO Nº 4,986, DE 18 DE MARÇO DE 2020,;0,7652;0,6975;0,8931;0,8023;0,7782;0,9305;0,0371;0;0,0807;0;0,0374;0
Boquim;SE;ERALDO DE CABEÇA DANTAS;JEAN  CARLOS;PEDRO BARBOSA;26.980;10;4 - 20001 até 50000;2 - Nordeste;MASCULINO;1;PP;2,196425692;1,947200963;0,249224729;17522;2675;20197;9612;6894;48;34;13;16.825;4055;20880;8804;6183;42;30;13;-1;Administração, defesa, educação e saúde públicas e seguridade social;11.285,12;Sim;Não;Sim;Sim;Sim;Sim;Sim;Não;Sim;29/04/2020;200;0,765714286;DECRETO 134/2020;21/03/2020;239;0,943181818;DECRETO 099/2020;0,444;0,5768;0,3717;0,4623;0,5437;0,3779;0,0183;0;-0,0331;1;0,0062;0
Itabaianinha;SE;DANILO DE JOALDO;ALAN VIEIRA;PROFESSOR GLEINYSON;42.399;11;4 - 20001 até 50000;2 - Nordeste;MASCULINO;1;DEM;1,994363941;3,106888211;-1,11252427;24353;3273;27626;8465;7068;31;26;5;25.166;4477;29643;12481;11221;42;38;4;-1;Administração, defesa, educação e saúde públicas e seguridade social;11.173,80;Sim;Não;Sim;Sim;Sim;Não;Não;Sim;Sim;08/05/2020;191;0,714285714;DECRETO (Nº 053/2020);24/03/2020;236;0,909090909;DECRETO Nº 40,567, DE 24 DE MARÇO DE 2020;0,3784;0,5334;0,3814;0,4238;0,4814;0,3673;0,0454;0;-0,052;1;-0,0141;1
Nossa senhora do socorro;SE;PADRE INALDO;DR, SAMUEL;DR, SAMUEL;187.733;12;6 - 100001 até 500000;2 - Nordeste;MASCULINO;1;PP;3,54293029;1,666900868;1,876029422;88234;12200;100434;35190;12276;35;12;23;92.072;17046;109118;27042;24018;25;22;3;-20;Administração, defesa, educação e saúde públicas e seguridade social;14.937,02;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Sim;29/04/2020;200;0,765714286;DECRETO Nº 20,106, DE 29 DE ABRIL DE 2020;19/03/2020;241;0,965909091;DECRETO Nº 19,912, DE 19 DE MARÇO DE 2020;0,371;0,3632;0,4922;0,4182;0,3534;0,4779;0,0472;0;-0,0098;1;-0,0143;1
Porto da folha;SE;MIGUEL DE DR MARCOS;DEMAR;VANDA DE DR JULIO;28.788;10;4 - 20001 até 50000;2 - Nordeste;MASCULINO;1;PSD;1,849687933;3,155931922;-1,30624399;18727;2843;21570;7522;5180;35;24;11;18.785;3796;22581;11689;5017;52;22;30;19;Administração, defesa, educação e saúde públicas e seguridade social;10.866,51;Sim;Não;Sim;Sim;Sim;Não;Sim;Sim;Sim;27/04/2020;202;0,777142857;DECRETO Nº 40,588 DE 27 DE ABRIL DE 2020;24/03/2020;236;0,909090909;DECRETO Nº 40,567, DE 24 DE MARÇO DE 2020;0,3581;0,5765;0,2778;0,3343;0,4252;0,2595;-0,0238;1;-0,1513;1;-0,0183;1
Tobias barreto;SE;DIÓGENES ALMEIDA;CESAR PRADO;DILSON DE AGRIPINO;52.861;11;5 - 50001 até 100000;2 - Nordeste;MASCULINO;0;MDB;2,271468636;2,048794039;0,222674597;31869;4604;36473;14872;14415;41;40;1;32.109;6778;38887;14047;14458;36;37;-1;-2;Administração, defesa, educação e saúde públicas e seguridade social;11.576,62;Sim;Não;Sim;Sim;Sim;Não;Não;Não;Sim;27/04/2020;202;0,777142857;DECRETO Nº 40,588 DE 27 DE ABRIL DE 2020;24/03/2020;236;0,909090909;DECRETO Nº 40,567, DE 24 DE MARÇO DE 2020;0,3506;0,3909;0,3893;0,421;0,5139;0,4003;0,0704;0;0,123;0;0,011;0
Barueri;SP;RUBENS FURLAN;SAULO GOES;MARI TAVELLI;279.704;13;6 - 100001 até 500000;3 - Sudeste;MASCULINO;1;PSDB;1,363209619;1,366964059;-0,00375444;200800;44227;245027;143250;19122;58;8;51;196.045;65383;261428;145377;9965;56;4;52;1;Demais serviços;185.046,58;Sim;Sim;Não;Sim;Sim;Sim;Sim;Sim;Sim;04/05/2020;195;0,737142857;DECRETO Nº 64,959, DE 04 DE MAIO DE 2020;23/03/2020;237;0,920454545; DECRETO Nº 9,113, DE 23 DE MARÇO DE 2020;0,7795;0,7516;0,9018;0,8304;0,8044;0,9271;0,0509;0;0,0528;0;0,0253;0
Bauru;SP;GAZZETTA;RAUL;SUÉLLEN ROSIM;381.706;13;6 - 100001 até 500000;3 - Sudeste;MASCULINO;0;PSDB;3,797054933;3,06473185;0,732323083;204156;59307;263463;78349;52668;30;20;10;188.276;82473;270749;14264;57844;5;21;-16;-26;Demais serviços;40.021,97;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Sim;22/04/2020;207;0,805714286;DECRETO Nº 14,735, DE 22 DE ABRIL DE 2,020;20/03/2020;240;0,954545455;DECRETO Nº 14,664, DE 20 DE MARÇO DE 2,020;0,755;0,6916;0,8852;0,8154;0,769;0,9213;0,0604;0;0,0774;0;0,0361;0
Carapicuiba;SP;MARCOS NEVES;PROFESSORA SÔNIA;PROFESSORA SÔNIA;405.375;13;6 - 100001 até 500000;3 - Sudeste;MASCULINO;1;PSDB;1,780582832;2,144235067;-0,363652235;227232;57561;284793;102287;67794;36;24;12;208.176;82962;291138;128773;21085;44;7;37;25;Demais serviços;15.437,46;Não;Não;Sim;Sim;Sim;Sim;Não;Sim;Sim;30/04/2020;199;0,76;DECRETO Nº 4994;21/03/2020;239;0,943181818;DECRETO Nº 4,981, DE 21 DE MARÇO DE 2020, ;0,5598;0,5462;0,5524;0,5984;0,5586;0,5415;0,0386;0;0,0124;0;-0,0109;1
Franca;SP;GILSON DE SOUZA;SIDNEI FRANCO DA ROCHA;FLÁVIA LANCHA;358.539;13;6 - 100001 até 500000;3 - Sudeste;MASCULINO;0;DEM;5,738917833;3,297367967;2,441549866;184127;47779;231906;34976;69902;15;30;-15;168.300;69824;238124;9664;35338;4;15;-11;4;Demais serviços;27.839,58;Sim;Não;Sim;Sim;Sim;Sim;Sim;Sim;Sim;04/05/2020;195;0,737142857;DECRETO Nº 64,959, DE 04 DE MAIO DE 2020;20/03/2020;240;0,954545455;https://g1,globo,com/sp/ribeirao-preto-franca/noticia/2020/03/20/risco-de-infeccao-por-coronavirus-fecha-comercio-em-franca-sp-fotos,ghtml;0,6997;0,5836;0,7873;0,7383;0,6611;0,7721;0,0386;0;0,0775;0;-0,0152;1
Guarulhos;SP;GUTI;ELI CORREA FILHO;ELÓI PIETÁ;1.404.694;14;7 - Maior que 500000;3 - Sudeste;MASCULINO;1;PSD;2,949102366;4,463099691;-1,513997325;746500;156310;902810;208591;135134;23;15;8;700.764;172116;872880;261211;184502;30;21;9;1;Demais serviços;47.301,43;Sim;Não;Sim;Sim;Não;Sim;Sim;Sim;Sim;19/03/2020;241;1;DECRETO Nº 36726  ;21/04/2020;208;0,590909091;DECRETO Nº 36811;0,6832;0,602;0,8237;0,7341;0,6444;0,8314;0,0509;0;0,0424;0;0,0077;0
Jundiai;SP;LUIZ FERNANDO MACHADO;PEDRO BIGARDI;PEDRO BIGARDI;426.935;13;6 - 100001 até 500000;3 - Sudeste;MASCULINO;1;PSDB;2,01801993;2,935141909;-0,917121979;241046;49232;290278;94388;53576;33;18;14;228.515;86360;314875;134793;11026;43;4;39;25;Demais serviços;121.121,33;Não;Sim;Sim;Sim;Não;Não;Sim;Não;Sim;04/05/2020;195;0,737142857;DECRETO Nº 64,959, DE 04 DE MAIO DE 2020;20/03/2020;240;0,954545455;DECRETO Nº 28,920, DE 20 DE MARÇO DE 2020;0,7829;0,7715;0,8341;0,8165;0,7932;0,8715;0,0336;0;0,0217;0;0,0374;0
Limeira;SP;MARIO BOTION;MURILO FELIX;MURILO FELIX;310.783;13;6 - 100001 até 500000;3 - Sudeste;MASCULINO;1;PSD;4,700248242;3,009621414;1,690626828;168245;44325;212570;71827;27143;34;13;21;163.294;63333;226627;45248;31402;20;14;6;-15;Demais serviços;44.418,06;Sim;Não;Sim;Sim;Sim;Sim;Sim;Sim;Sim;06/05/2020;193;0,725714286;DECRETO N° 170, DE 6 DE MAIO DE 2020;20/03/2020;240;0,954545455;DECRETO Nº119;0,7559;0,68;0,872;0,7828;0,6923;0,8732;0,0269;0;0,0123;0;0,0012;0
Mogi das cruzes;SP;MARCUS MELO;GONDIM;CAIO CUNHA;455.587;13;6 - 100001 até 500000;3 - Sudeste;MASCULINO;0;PSDB;3,285381394;1,931078975;1,354302418;240669;56263;296932;129763;64604;44;22;22;230.971;88855;319826;81555;54591;25;17;8;-14;Demais serviços;37.632,19;Sim;Sim;Não;Sim;Não;Sim;Sim;Sim;Sim;13/05/2020;186;0,685714286;LEI Nº 7,569, DE 13 DE MAIO DE 2020,;22/03/2020;238;0,931818182;DECRETO Nº 64,881, DE 22 DE MARÇO DE 2020;0,7241;0,6771;0,7966;0,7643;0,73;0,7877;0,0402;0;0,0529;0;-0,0089;1
Osasco;SP;ROGÉRIO LINS;LAPAS;DR LINDOSO;701.428;13;7 - Maior que 500000;3 - Sudeste;MASCULINO;1;PODE;2,262291334;3,134282804;-0,87199147;444673;121410;566083;109705;107232;19;19;0;407.183;160178;567361;204207;66543;36;12;24;24;Demais serviços;109.025,60;Não;Sim;Não;Sim;Não;Não;Sim;Sim;Sim;04/05/2020;195;0,737142857;DECRETO Nº 64,959, DE 04 DE MAIO DE 2020;20/03/2020;240;0,954545455;DECRETO Nº 12,398, DE 20 DE MARÇO DE 2020,;0,6502;0,5847;0,7207;0,7209;0,6971;0,728;0,0707;0;0,1124;0;0,0073;0
Ribeirao preto;SP;DUARTE NOGUEIRA;RICARDO SILVA;SUELY VILELA;720.116;13;7 - Maior que 500000;3 - Sudeste;MASCULINO;1;PSDB;3,574115174;3,784171521;-0,210056347;325672;109709;435381;100462;70215;23;16;7;298.508;143337;441845;115724;52266;26;12;14;7;Demais serviços;49.476,86;Não;Não;Sim;Sim;Sim;Não;Sim;Sim;Sim;17/04/2020;212;0,834285714;DECRETO 091/2020;19/03/2020;241;0,965909091;DECRETO 069/2020;0,7495;0,683;0,9068;0,8132;0,8223;0,9234;0,0637;0;0,1393;0;0,0166;0
Sao bernardo do campo;SP;ORLANDO MORANDO;ALEX MANENTE;LUIZ MARINHO;849.874;14;7 - Maior que 500000;3 - Sudeste;MASCULINO;1;PSDB;1,958582115;2,98057938;-1,021997265;489196;122581;611777;169310;106726;28;17;10;455.094;165087;620181;261761;90803;42;15;28;17;Demais serviços;57.566,99;Não;Sim;Não;Sim;Sim;Não;Sim;Sim;Sim;06/05/2020;193;0,725714286;DECRETO Nº 21,157, DE 6 DE MAIO DE 2020;23/03/2020;237;0,920454545;https://www,saobernardo,sp,gov,br/busca?p_p_id=101&p_p_lifecycle=0&p_p_state=maximized&p_p_mode=view&_101_struts_action=%2Fasset_publisher%2Fview_content&_101_returnToFullPageURL=https%3A%2F%2Fwww,saobernardo,sp,gov,br%2Fweb%2Fsbc%2Fbusca%3Fp_auth%3D5x55EI6x%26p_p_id%3D3%26p_p_lifecycle%3D1%26p_p_state%3Dnormal%26p_p_state_rcv%3D1&_101_assetEntryId=1042062&_101_type=content&_101_urlTitle=confira-o-que-abre-e-fecha-em-sao-bernardo-na-mobilizacao-contra-o-coronavirus&inheritRedirect=true;0,6309;0,5613;0,719;0,6997;0,6323;0,7516;0,0688;0;0,071;0;0,0326;0
Sao jose do rio preto;SP;EDINHO ARAÚJO;BOLÇONE;CORONEL HELENA;469.173;13;6 - 100001 até 500000;3 - Sudeste;MASCULINO;1;MDB;2,62838815;2,568764078;0,059624073;248340;70127;318467;113377;69857;36;22;14;228.368;104172;332540;111525;55234;34;17;17;3;Demais serviços;40.204,08;Sim;Não;Não;Sim;Sim;Sim;Sim;Sim;Sim;05/05/2020;194;0,731428571;https://www,al,sp,gov,br/norma/?id=193701;20/03/2020;240;0,954545455;DECRETO Nº 18,559 DE 20 DE MARÇO DE 2020,;0,7718;0,7447;0,8672;0,8139;0,7863;0,8808;0,0421;0;0,0416;0;0,0136;0
Suzano;SP;RODRIGO ASHIUCHI;LACERDA;ISRAEL LACERDA;303.397;13;6 - 100001 até 500000;3 - Sudeste;MASCULINO;1;PL;1,446343915;4,004094228;-2,557750313;172180;39671;211851;43983;38936;21;18;2;165.954;52005;217959;110001;8579;50;4;47;44;Indústrias de transformação;42.170,50;Sim;Sim;Não;Sim;Sim;Sim;Sim;Sim;Sim;22/04/2020;207;0,805714286;DECRETO 9458/2020;20/03/2020;240;0,954545455;DECRETO 9439/2020;0,8134;0,8039;0,8942;0,8498;0,8533;0,9099;0,0364;0;0,0494;0;0,0157;0
Araguatins;TO;CLAUDIO SANTANA;AQUILES DA AREIA;AQUILES DA AREIA;36.573;11;4 - 20001 até 50000;1 - Norte;MASCULINO;0;MDB;2,754090497;3,05395754;-0,299867043;16573;4582;21155;5881;5542;28;26;2;16.513;4035;20548;2712;8231;13;40;-27;-28;Administração, defesa, educação e saúde públicas e seguridade social;12.880,85;Sim;Não;Sim;Sim;Sim;Sim;Sim;Sim;Sim;01/05/2020;198;0,754285714;DECRETO 098/2020;19/03/2020;241;0,965909091;DECRETO 068/2020;0,4018;0,3743;0,363;0,4513;0,4964;0,3903;0,0495;0;0,1221;0;0,0273;0
Augustinopolis;TO;JULIO OLIVEIRA;CARMEM;ANTÔNIO DO BAR;18.870;10;3 - 10001 até 20000;1 - Norte;MASCULINO;0;SOLIDARIEDADE;2,359853417;1,991487292;0,368366125;9796;2200;11996;4913;4310;41;36;5;9.801;1932;11733;4224;4281;36;36;0;-6;Administração, defesa, educação e saúde públicas e seguridade social;15.615,46;Sim;Não;Não;Sim;Sim;Não;Não;Não;Sim;04/05/2020;195;0,737142857;DECRETO 82/2020;04/05/2020;195;0,443181818;DECRETO 82/2020;0,4374;0,5213;0,4033;0,5186;0,631;0,4087;0,0812;0;0,1097;0;0,0054;0
Colinas do tocantins;TO;ADRIANO RABELO;FABRICIO SANTANA;DR KASARIN;36.271;10;4 - 20001 até 50000;1 - Norte;MASCULINO;0;MDB;3,283941346;1,935803088;1,348138258;19553;2104;21657;11407;6892;53;32;21;17.723;4450;22173;5268;6202;24;28;-4;-25;Administração, defesa, educação e saúde públicas e seguridade social;22.179,14;Sim;Não;Sim;Sim;Sim;Não;Sim;Sim;Sim;05/05/2020;194;0,731428571;DECRETO Nº 6,092, DE 5 DE MAIO DE 2020;24/03/2020;236;0,909090909;https://mpto,mp,br/portal/2020/03/24/nove-municipios-das-comarcas-de-colinas-e-arapoema-acatam-recomendacao-do-mpto-e-restringem-atividades-que-gerem-aglomeracao-de-pessoas;0,4959;0,399;0,5009;0,5524;0,4827;0,5588;0,0565;0;0,0837;0;0,0579;0
Porto nacional;TO;JOAQUIM MAIA;OTONIEL;RONIVON;53.618;11;5 - 50001 até 100000;1 - Norte;MASCULINO;0;MDB;3,040192107;2,028408498;1,011783609;33559;3455;37014;16988;13923;46;38;8;32.899;7420;40319;9497;11294;24;28;-4;-13;Comércio e reparação de veículos automotores e motocicletas;49.193,72;Sim;Não;Sim;Sim;Sim;Sim;Sim;Sim;Sim;05/05/2020;194;0,731428571;DECRETO Nº 6,092, DE 5 DE MAIO DE 2020;22/03/2020;238;0,931818182;DECRETO 149/2020;0,5407;0,5486;0,5724;0,5693;0,5898;0,5972;0,0286;0;0,0412;0;0,0248;0
Taguatinga;TO;MIRANDA TAGUATINGA;LUCIN;PAULO ROBERTO;16.966;10;3 - 10001 até 20000;1 - Norte;MASCULINO;0;PV;2,884664882;2,642070743;0,242594139;8836;1290;10126;2710;1292;27;13;14;7.869;2015;9884;2162;3147;22;32;-10;-24;Administração, defesa, educação e saúde públicas e seguridade social;14.300,16;Não;Não;Sim;Sim;Sim;Sim;Não;Sim;Sim;05/05/2020;194;0,731428571;DECRETO Nº 6,092, DE 5 DE MAIO DE 2020;21/03/2020;239;0,943181818;DECRETO No 6,072, de 21 de março de 2020;0,3852;0,4944;0,3379;0,3903;0,3894;0,3684;0,0051;0;-0,105;1;0,0305;0
